ship_id,weapon_system,fire_arc,point_blank,short,long,extreme,ad,ap,dd,traits
14,Aft 24M Torpedoes,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,3,"Devastating, One-Shot"
14,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
15,Turret A (2 x 8-inch),"Fore, Port, Starboard","3""","6""","9""","13""",2,-1,1,-
15,Forward 24M Torpedoes,Fore,"1""","3""","4""","6""",4,-,3,"Devastating, Slow-Loading"
15,Port/Starboard 24M Torpedoes,"Aft, Port, Starboard","1""","3""","4""","6""",2,-,3,"Devastating, Slow-Loading"
15,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
16,A Turret (2 x 13.4-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,1,2,-
16,B Turret (2 x 13.4-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,1,2,-
16,Q Turret (2 x 13.4-inch),"Port, Starboard","7""","14""","21""","29""",2,1,2,-
16,X Turret (2 x 13.4-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,1,2,-
16,Y Turret (2 x 13.4-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,1,2,-
16,Light Guns (14 x 5.5-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",8,-2,1,"Restricted, Weak"
16,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,-,Local (1)
17,A Turret (2 x 13.4-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,1,2,-
17,B Turret (2 x 13.4-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,1,2,-
17,X Turret (2 x 13.4-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,1,2,-
17,Y Turret (2 x 13.4-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,1,2,-
17,Light Guns (8 x 3.9-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","17""",4,-2,1,"DP, Restricted, Weak"
17,Light Guns (14 x 5.5-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",8,-2,1,"Restricted, Weak"
17,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
18,A Turret (2 x 13.4-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,1,2,-
18,B Turret (2 x 13.4-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,1,2,-
18,X Turret (2 x 13.4-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,1,2,-
18,Y Turret (2 x 13.4-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,1,2,-
18,Light Guns (14 x 5.5-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",8,-2,1,"Restricted, Weak"
18,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,-,Local (1)
19,A Turret (2 x 13.4-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,1,2,-
19,B Turret (2 x 13.4-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,1,2,-
19,X Turret (2 x 13.4-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,1,2,-
19,Y Turret (2 x 13.4-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,1,2,-
19,Light Guns (14 x 5.5-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",8,-2,1,"Restricted, Weak"
19,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,-,Local (2)
20,A Turret (2 x 12-inch),"Fore, Port, Starboard","6""","12""","18""","25""",2,-,2,-
20,B Turret (2 x 12-inch),"Fore, Port, Starboard","6""","12""","18""","25""",2,-,2,-
20,Q Turret (2 x 12-inch),Port,"6""","12""","18""","25""",2,-,2,-
20,R Turret (2 x 12-inch),Starboard,"6""","12""","18""","25""",2,-,2,-
20,X Turret (2 x 12-inch),"Aft, Port, Starboard","6""","12""","18""","25""",2,-,2,-
20,Y Turret (2 x 12-inch),"Aft, Port, Starboard","6""","12""","18""","25""",2,-,2,-
20,Light Guns (22 x 5.5-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",12,-2,1,"Restricted, Weak"
20,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
21,A Turret (4 x 13-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,2,-
21,B Turret (4 x 13-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,2,-
21,Light Guns (12 x 5.1-inch),"Aft, Port, Starboard","5""","11""","17""","23""",9,-2,1,Weak
21,Light Guns (4 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","11""","17""","23""",9,-2,1,Weak
21,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
22,A Turret (4 x 13-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,2,-
22,B Turret (4 x 13-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,2,-
22,Light Guns (12 x 5.1-inch),"Aft, Port, Starboard","5""","11""","17""","23""",9,-2,1,Weak
22,Light Guns (4 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","11""","17""","23""",9,-2,1,Weak
22,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
23,A Turret (4 x 15-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,3,-
23,B Turret (4 x 15-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,3,-
23,Q Turret (3 x 6-inch),Port,"7""","14""","21""","29""",2,-1,1,Fast Track
23,R Turret (3 x 6-inch),Starboard,"7""","14""","21""","29""",2,-1,1,Fast Track
23,X Turret (3 x 6-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
23,Light Guns (12 x 3.9-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","17""",4,-2,1,"DP, Restricted, Weak"
23,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
24,A Turret (4 x 15-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,3,-
24,B Turret (4 x 15-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,3,-
24,Q Turret (3 x 6-inch),Port,"7""","14""","21""","29""",2,-1,1,Fast Track
24,R Turret (3 x 6-inch),Starboard,"7""","14""","21""","29""",2,-1,1,Fast Track
24,X Turret (3 x 6-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
24,Light Guns (12 x 3.9-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","17""",4,-2,1,"DP, Restricted, Weak"
24,AA Battery,"Fore, Aft, Port, Starboard","1""","2""","3""","5""",11,-,-,Local (3)
25,A Turret (4 x 15-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,3,-
25,B Turret (4 x 15-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,3,-
25,Q Turret (3 x 6-inch),Port,"7""","14""","21""","29""",2,-1,1,Fast Track
25,R Turret (3 x 6-inch),Starboard,"7""","14""","21""","29""",2,-1,1,Fast Track
25,X Turret (3 x 6-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
25,Light Guns (12 x 3.9-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","17""",4,-2,1,"DP, Restricted, Weak"
25,AA Battery,"Fore, Aft, Port, Starboard","1""","2""","3""","5""",12,-,-,Local (2)
26,A Turret (4 x 15-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,3,-
26,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
27,A Turret (4 x 15-inch),"Fore, Port, Starboard","11""","23""","34""","46""",4,2,3,-
27,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","7""",3,-,-,Local (1)
28,Light Guns (8 x 6.1-inch),"Fore, Aft, Port, Starboard","7""","14""","21""","29""",4,-1,1,Restricted
28,Port 19V Torpedoes,Port,"1""","2""","3""","4""",2,-,2,"Devastating, One-Shot"
28,Starboard 19V Torpedoes,Starboard,"1""","2""","3""","4""",2,-,2,"Devastating, One-Shot"
28,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
29,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,"DP, Restricted, Weak"
29,AA Battery,"Fore, Aft, Port, Starboard","1""","2""","3""","5""",5,-,-,Local (1)
30,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
30,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
30,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
30,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
30,Light Guns (12 x 3.9-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","17""",4,-2,1,"DP, Restricted, Weak"
30,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
30,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
30,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
31,A Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
31,B Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
31,X Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
31,Y Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
31,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
31,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
31,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
31,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
31,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
32,A Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
32,B Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
32,X Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
32,Y Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
32,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
32,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
32,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
32,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
32,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
33,A Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
33,B Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
33,X Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
33,Y Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
33,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
33,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
33,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
34,A Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
34,B Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
34,X Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
34,Y Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
34,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,-,Local (1)
35,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
35,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
35,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
35,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
35,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
35,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
35,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,-,Local (1)
36,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
36,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
36,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
36,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
36,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",3,-,-,Local (1)
37,A Turret (3 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
37,B Turret (3 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
37,Y Turret (3 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
37,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
37,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
37,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","5""","7""",1,-,-,Local (1)
38,A Turret (3 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
38,B Turret (3 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
38,Y Turret (3 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
38,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","5""","7""",6,-,-,Local (1)
39,A Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
39,B Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
39,X Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
39,Y Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
39,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",1,-,3,"Devastating, One-Shot"
39,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",1,-,3,"Devastating, One-Shot"
39,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",1,-,-,Local (1)
40,A Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
40,B Turret (2 x 6.1-inch),"Fore, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
40,X Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
40,Y Turret (2 x 6.1-inch),"Aft, Port, Starboard","7""","14""","21""","29""",1,-1,1,"Twin-Linked, Fast-Track"
40,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,-,Local (1)
41,A Turret (3 x 6-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
41,B Turret (3 x 6-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
41,X Turret (3 x 6-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
41,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, One-Shot"
41,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, One-Shot"
41,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","5""","7""",2,-,-,Local (1)
42,A Turret (3 x 6-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
42,B Turret (3 x 6-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
42,X Turret (3 x 6-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
42,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, One-Shot"
42,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, One-Shot"
42,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","5""","7""",7,-,-,Local (1)
43,A Turret (3 x 6-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
43,B Turret (3 x 6-inch),"Fore, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
43,X Turret (3 x 6-inch),"Aft, Port, Starboard","7""","14""","21""","29""",2,-1,1,Fast Track
43,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, One-Shot"
43,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, One-Shot"
43,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","5""","7""",7,-,-,Local (1)
44,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
44,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
44,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
44,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
44,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
44,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
44,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",2,-,-,Local (1)
45,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
45,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
45,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
45,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
45,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","4""","6""",3,-,-,Local (1)
46,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
46,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
46,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
46,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
46,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
46,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
46,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","5""","7""",2,-,-,Local (1)
47,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
47,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
47,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
47,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
47,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
47,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
47,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","5""","7""",2,-,-,Local (1)
48,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
48,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
48,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
48,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","33""",2,-1,1,-
48,Port 23DT Torpedoes,Port,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
48,Starboard 23DT Torpedoes,Starboard,"3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
48,AA Battery,"Fore, Aft, Port, Starboard","1""","3""","5""","7""",2,-,-,Local (2)
49,Light Guns (4 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
49,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
49,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
49,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
50,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","16""",2,-2,1,Weak
50,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
50,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
51,Light Guns (4 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
51,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",2,-,3,"Devastating, One-Shot"
51,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
52,Light Guns (4 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
52,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
52,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
52,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
53,Light Guns (3 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",1,-2,1,Weak
53,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
53,AA Battery,"Fore, Aft, Port, Starboard","1""","2""","3""","5""",1,-,-,Local (1)
54,Light Guns (3 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",1,-2,1,Weak
54,AA Battery,"Fore, Aft, Port, Starboard","1""","2""","3""","5""",1,-,-,Local (1)
55,Light Guns (4 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
55,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
55,Port/Starboard 23DT Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
55,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
56,Light Guns (4 x 5.1-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
56,Light Guns (1 x 4-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","17""",1,-2,1,"DP, Slow-Loading, Weak"
