ship_id,ship_name,ship_class,ship_type,points,flank_speed,armour,hull,traits,ship_image,nation,nation_name,unit_id
33,Duguay-Trouin (1943),Duguay-Trouin,Cruiser,140,"7""",1+,19/6,"Armored Deck, Agile, Sub-Hunter",duguay_1939.png,french_ensign.png,France,653
34,Duguay-Trouin (1944),Duguay-Trouin,Cruiser,140,"7""",1+,19/6,"Armored Deck, Agile, Sub-Hunter, Radar",duguay_1945.png,french_ensign.png,France,654
35,Duquesne,Duquesne,Cruiser,135,"7""",2+,24/8,"Aircraft 2, Armored Deck",duquesne_1939.png,french_ensign.png,France,655
36,Duquesne (1945),Duquesne,Cruiser,115,"7""",2+,24/8,"Armored Deck, Advanced Radar",duquesne_1945.png,french_ensign.png,France,656
37,Emile Bertin,Emile Bertin,Cruiser,100,"7""",1+,17/5,"Aircraft 2, Armored Deck, Agile, Depth Charge",emile_bertin_1935.png,french_ensign.png,France,657
38,Emile Bertin (1943),Emile Bertin,Cruiser,110,"7""",1+,17/5,"Armored Deck, Agile, Depth Charge, Radar",emile_bertin_1944.png,french_ensign.png,France,658
39,Jeanne D'Arc,Jeanne D'Arc,Cruiser,75,"5""",1+,18/6,"Aircraft 2, Armored Deck, Agile",jean_darc_1942.png,french_ensign.png,France,659
40,Jeanne D'Arc (1943),Jeanne D'Arc,Cruiser,65,"5""",1+,18/6,"Armored Deck, Agile, Radar",jean_darc_1944.png,french_ensign.png,France,660
41,La Galissonniere,La Galissonniere,Cruiser,90,"6""",3+,18/6,"Aircraft 3, Agile",la_galissonniere_1939.png,french_ensign.png,France,661
42,Gloire (1943),La Galissonniere,Cruiser,115,"6""",3+,18/6,"Agile, Radar",gloire_1944.png,french_ensign.png,France,662
43,Georges Leygues (1945),La Galissonniere,Cruiser,130,"6""",3+,18/6,"Agile, Advanced Radar",georges_leygues_1945.png,french_ensign.png,France,663
44,Suffren,Suffren,Cruiser,125,"6""",2+,26/8,Aircraft 2,suffren_1939.png,french_ensign.png,France,664
45,Suffren (1945),Suffren,Cruiser,105,"6""",2+,26/8,Advanced Radar,suffren_1945.png,french_ensign.png,France,665
46,Colbert (1935),Suffren,Cruiser,135,"6""",2+,26/8,Aircraft 3,colbert_1939.png,french_ensign.png,France,666
47,Dupleix (1935),Suffren,Cruiser,155,"6""",2+,26/8,"Aircraft 3, Armored Deck",dupleix_1939.png,french_ensign.png,France,667
48,Dupleix (1942),Suffren,Cruiser,160,"6""",2+,26/8,"Aircraft 3, Armored Deck",dupleix_1942.png,french_ensign.png,France,668
49,Bourrasque,Bourrasque,Destroyer,40,"7""",1+,4/1,"Agile, Depth Charge",bourrasque_1939.png,french_ensign.png,France,669
50,Mistral (1941),Bourrasque,Destroyer,40,"7""",1+,4/1,"Agile, Depth Charge, Sub-Hunter",bourrasque_1939.png,french_ensign.png,France,670
51,Typhon (1942),Bourrasque,Destroyer,25,"7""",1+,4/1,"Agile, Depth Charge",bourrasque_1939.png,french_ensign.png,France,671
52,Tramontane (1942),Bourrasque,Destroyer,30,"7""",1+,4/1,"Agile, Depth Charge",bourrasque_1939.png,french_ensign.png,France,672
53,Trombe (1943),Bourrasque,Destroyer,45,"7""",1+,4/1,"Agile, Depth Charge, Radar, Sub-Hunter",bourrasque_1939.png,french_ensign.png,France,673
54,Simoun (1943),Bourrasque,Destroyer,35,"7""",1+,4/1,"Agile, Depth Charge, Radar, Sub-Hunter",bourrasque_1939.png,french_ensign.png,France,674
55,Chacal,Chacal,Destroyer,40,"6""",1+,6/2,"Agile, Depth Charge",jaguar_1939.png,french_ensign.png,France,675
56,Leopard (1940),Chacal,Destroyer,55,"6""",1+,6/2,"Agile, Depth Charge, Sub-Hunter",tigre_1939.png,french_ensign.png,France,676
57,Leopard (1942),Chacal,Destroyer,60,"6""",1+,6/2,"Agile, Depth Charge, Sub-Hunter, Radar",tigre_1939.png,french_ensign.png,France,677
58,Tigre (1944),Chacal,Destroyer,40,"6""",1+,6/2,"Agile, Depth Charge, Sub-Hunter, Radar",tigre_1939.png,french_ensign.png,France,678
59,Le Fantasque,Le Fantasque,Destroyer,60,"8""",1+,7/2,"Agile, Depth Charge",le_fantasque_1939.png,french_ensign.png,France,679
60,Le Triomphant (1940),Le Fantasque,Destroyer,75,"8""",1+,7/2,"Agile, Depth Charge, Sub-Hunter, Radar",le_fantasque_1939.png,french_ensign.png,France,680
61,Le Triomphant (1944),Le Fantasque,Destroyer,75,"8""",1+,7/2,"Agile, Depth Charge, Sub-Hunter, Advanced Radar",le_fantasque_1939.png,french_ensign.png,France,681
62,Le Fantasque (1943),Le Fantasque,Destroyer,75,"8""",1+,7/2,"Agile, Depth Charge, Sub-Hunter, Advanced Radar",le_fantasque_1939.png,french_ensign.png,France,682
63,Le Terrible (1943),Le Fantasque,Destroyer,70,"8""",1+,7/2,"Agile, Depth Charge, Sub-Hunter, Advanced Radar",le_fantasque_1939.png,french_ensign.png,France,683
64,Mogador,Mogador,Destroyer,65,"8""",1+,8/2,Depth Charge,mogador_1940.png,french_ensign.png,France,684
65,Mogador (1941),Mogador,Destroyer,60,"8""",1+,8/2,Depth Charge,mogador_1940.png,french_ensign.png,France,685
66,Hindenburg,H-39,Battleship,700,"6""",6+,131/43,"Aircraft 4, Torpedo Belt 3, Armored Deck, Radar, Sub-Hunter",h39.png,kriegsmarine_ensign.png,Germany,1
67,U-70,Type VII,Submarine,45,"3""",2+,2/1,"Submarine, Agile",type7_1941.png,kriegsmarine_ensign.png,Germany,1
68,Ammunition Ship,Ammunition Ship,Civilian,25,"3""",1+,13/4,"Lumbering, Explosive",ammo_ship.png,kriegsmarine_ensign.png,Germany,1
69,O,O,Battleship,360,"7""",4+,71/23,"Aircraft 4, Torpedo Belt 2, Armored Deck, Radar",o_class.png,kriegsmarine_ensign.png,Germany,2
70,U-96,Type VII,Submarine,50,"3""",2+,2/1,"Submarine, Agile, Radar",type7_1941.png,kriegsmarine_ensign.png,Germany,2
71,Ammunition Ship (1942),Ammunition Ship,Civilian,35,"3""",1+,13/4,"Lumbering, Explosive",ammo_ship.png,kriegsmarine_ensign.png,Germany,2
72,Scharnhorst,Scharnhorst,Battleship,425,"6""",6+,78/26,"Aircraft 3, Torpedo Belt 3, Armored Deck, Radar",scharnhorst.png,kriegsmarine_ensign.png,Germany,3
73,U-70 (1943),Type VII,Submarine,40,"3""",2+,2/1,"Submarine, Agile",type7_1943.png,kriegsmarine_ensign.png,Germany,3
74,Ammunition Ship (1944),Ammunition Ship,Civilian,35,"3""",1+,13/4,"Lumbering, Explosive",ammo_ship.png,kriegsmarine_ensign.png,Germany,3
75,Gneisenau,Scharnhorst,Battleship,425,"6""",6+,78/26,"Aircraft 3, Torpedo Belt 3, Armored Deck, Radar",gneisenau.png,kriegsmarine_ensign.png,Germany,4
76,U-96 (1943),Type VII,Submarine,45,"3""",2+,2/1,"Submarine, Agile, Radar",type7_1943.png,kriegsmarine_ensign.png,Germany,4
77,Armed Merchant Cruiser,Merchant Cruiser,Civilian,25,"3""",1+,15/5,Lumbering,merch_cruiser.png,kriegsmarine_ensign.png,Germany,4
78,Scharnhorst (1942),Scharnhorst,Battleship,490,"6""",6+,78/26,"Aircraft 3, Torpedo Belt 3, Armored Deck, Radar",scharnhorst_1942.png,kriegsmarine_ensign.png,Germany,5
79,U-96 (1944),Type VII,Submarine,50,"3""",2+,2/1,"Submarine, Agile, Radar",type7_1944.png,kriegsmarine_ensign.png,Germany,5
80,German Raider,Merchant Cruiser,Civilian,50,"3""",1+,12/4,"Aircraft 2, Lumbering",german_raider.png,kriegsmarine_ensign.png,Germany,5
81,Scharnhorst (1943),Scharnhorst,Battleship,495,"6""",6+,78/26,"Aircraft 3, Torpedo Belt 3, Armored Deck, Radar",scharnhorst_1943.png,kriegsmarine_ensign.png,Germany,6
82,U-37,Type IX,Submarine,50,"4""",2+,3/1,"Submarine, Agile, Sub-Hunter",type9_1938.png,kriegsmarine_ensign.png,Germany,6
83,Liberty Ship,Cargo Ship,Civilian,25,"2""",1+,10/3,Lumbering,liberty.png,kriegsmarine_ensign.png,Germany,6
84,Scharnhorst (1944),Scharnhorst,Battleship,695,"6""",6+,84/28,"Aircraft 3, Torpedo Belt 3, Armored Deck, Advanced Radar",scharnhorst_1944.png,kriegsmarine_ensign.png,Germany,7
85,U-66,Type IX,Submarine,50,"4""",2+,3/1,"Submarine, Agile, Sub-Hunter, Radar",type9_1938.png,kriegsmarine_ensign.png,Germany,7
86,Liner,Liner,Civilian,25,"6""",1+,72/24,Lumbering,liner.png,kriegsmarine_ensign.png,Germany,7
87,Gneisenau (1941),Scharnhorst,Battleship,430,"6""",6+,78/26,"Aircraft 3, Torpedo Belt 3, Armored Deck, Radar",gneisenau_1941.png,kriegsmarine_ensign.png,Germany,8
88,U-37 (1943),Type IX,Submarine,45,"4""",2+,3/1,"Submarine, Agile, Sub-Hunter",type9_1943.png,kriegsmarine_ensign.png,Germany,8
89,Oil Tanker,Oil Tanker,Civilian,30,"4""",1+,15/5,"Lumbering, Volatile",tanker.png,kriegsmarine_ensign.png,Germany,8
90,Gneisenau (1942),Scharnhorst,Battleship,490,"6""",6+,78/26,"Aircraft 3, Torpedo Belt 3, Armored Deck, Radar",gneisenau_1942.png,kriegsmarine_ensign.png,Germany,9
91,U-66 (1943),Type IX,Submarine,45,"4""",2+,3/1,"Submarine, Agile, Sub-Hunter, Radar",type9_1943.png,kriegsmarine_ensign.png,Germany,9
92,Oil Tanker (1942),Oil Tanker,Civilian,40,"4""",1+,15/5,"Lumbering, Volatile",tanker.png,kriegsmarine_ensign.png,Germany,9
93,Bismarck,Bismarck,Battleship,450,"6""",6+,102/34,"Aircraft 4, Torpedo Belt 3, Armored Deck, Radar",bismarck.png,kriegsmarine_ensign.png,Germany,10
94,U-66 (1944),Type IX,Submarine,50,"4""",2+,3/1,"Submarine, Agile, Sub-Hunter, Radar",type9_1944.png,kriegsmarine_ensign.png,Germany,10
95,Oil Tanker (1944),Oil Tanker,Civilian,50,"4""",1+,15/5,"Lumbering, Volatile",tanker.png,kriegsmarine_ensign.png,Germany,10
96,Tirpitz,Bismarck,Battleship,450,"6""",6+,102/34,"Aircraft 4, Torpedo Belt 3, Armored Deck, Radar",tirpitz.png,kriegsmarine_ensign.png,Germany,11
97,U-2501,Type XXI,Submarine,70,"3""",2+,4/1,"Submarine, Agile, Sub-Hunter, Advanced Radar",type21_1944.png,kriegsmarine_ensign.png,Germany,11
98,Bismarck (1941),Bismarck,Battleship,455,"6""",6+,102/34,"Aircraft 4, Torpedo Belt 3, Armored Deck, Radar",bismarck_1941.png,kriegsmarine_ensign.png,Germany,12
99,Tirpitz (1941),Bismarck,Battleship,515,"6""",6+,102/34,"Aircraft 4, Torpedo Belt 3, Armored Deck, Radar, Sub-Hunter",tirpitz_1941.png,kriegsmarine_ensign.png,Germany,13
100,Tirpitz (1943),Bismarck,Battleship,520,"6""",6+,102/34,"Aircraft 4, Torpedo Belt 3, Armored Deck, Radar, Sub-Hunter",tirpitz_1943.png,kriegsmarine_ensign.png,Germany,14
101,Tirpitz (1944),Bismarck,Battleship,525,"6""",6+,102/34,"Aircraft 4, Torpedo Belt 3, Armored Deck, Radar, Sub-Hunter",tirpitz_1944.png,kriegsmarine_ensign.png,Germany,15
102,Schlesien,Deutschland,Battleship,130,"4""",4+,28/9,Torpedo Belt 1,schlesien.png,kriegsmarine_ensign.png,Germany,16
103,Seaplane Tender,Seaplane Tender,Civilian,25,"4""",1+,12/4,"Aircraft 6, Lumbering",seaplane_tender.png,kriegsmarine_ensign.png,Germany,16
104,Schleswig-Holstein,Deutschland,Battleship,130,"4""",4+,28/9,Torpedo Belt 1,schleswig_holstein.png,kriegsmarine_ensign.png,Germany,17
105,Tramp Freighter,Tramp Freighter,Civilian,10,"2""",1+,6/2,,tramp_freighter.png,kriegsmarine_ensign.png,Germany,17
106,Schlesien (1936),Deutschland,Battleship,130,"4""",4+,28/9,Torpedo Belt 1,schlesien.png,kriegsmarine_ensign.png,Germany,18
107,Troop Ship,Troop Ship,Civilian,25,"3""",1+,16/5,Lumbering,troop_ship.png,kriegsmarine_ensign.png,Germany,18
108,Schlesien (1944),Deutschland,Battleship,130,"4""",4+,28/9,Torpedo Belt 1,schlesien.png,kriegsmarine_ensign.png,Germany,19
109,Victory Ship,Cargo Ship,Civilian,30,"3""",1+,14/4,Lumbering,victory.png,kriegsmarine_ensign.png,Germany,19
110,Graf Zeppelin,Graf Zeppelin,Carrier,210,"7""",3+,67/22,"Aircraft 10, Torpedo Belt 2, Carrier, Radar",graf_zeppelin.png,kriegsmarine_ensign.png,Germany,20
111,Jade,Jade,Carrier,110,"4""",1+,49/16,"Aircraft 6, Carrier, Radar, Lumbering",jade.png,kriegsmarine_ensign.png,Germany,21
112,Admiral Graf Spee,Deutschland,Cruiser,280,"6""",3+,32/10,"Aircraft 2, Radar",graf_spee.png,kriegsmarine_ensign.png,Germany,22
113,Admiral Scheer,Deutschland,Cruiser,275,"6""",3+,30/10,"Aircraft 2, Radar",adm_scheer.png,kriegsmarine_ensign.png,Germany,23
114,Lutzow,Deutschland,Cruiser,275,"6""",3+,30/10,"Aircraft 2, Radar",lutzow.png,kriegsmarine_ensign.png,Germany,24
115,Admiral Graf Spee (1939),Deutschland,Cruiser,300,"6""",3+,32/10,"Aircraft 2, Radar",graf_spee_1939.png,kriegsmarine_ensign.png,Germany,25
116,Admiral Scheer (1940),Deutschland,Cruiser,300,"6""",3+,30/10,"Aircraft 2, Radar",admiral_scheer_1940.png,kriegsmarine_ensign.png,Germany,26
117,Admiral Scheer (1942),Deutschland,Cruiser,305,"6""",3+,30/10,"Aircraft 2, Radar",admiral_scheer_1942.png,kriegsmarine_ensign.png,Germany,27
118,Admiral Scheer (1945),Deutschland,Cruiser,305,"6""",3+,30/10,"Aircraft 2, Radar",admiral_scheer_1945.png,kriegsmarine_ensign.png,Germany,28
119,Lutzow (1941),Deutschland,Cruiser,300,"6""",3+,30/10,"Aircraft 2, Radar",lutzow_1941.png,kriegsmarine_ensign.png,Germany,29
120,Lutzow (1944),Deutschland,Cruiser,300,"6""",3+,30/10,"Aircraft 2, Radar",lutzow_1944.png,kriegsmarine_ensign.png,Germany,30
121,Lutzow (1941),Deutschland,Cruiser,300,"6""",3+,30/10,"Aircraft 2, Radar",lutzow_1945.png,kriegsmarine_ensign.png,Germany,31
122,Emden,Emden,Cruiser,75,"6""",2+,14/4,"Armored Deck, Agile",emden.png,kriegsmarine_ensign.png,Germany,32
123,Emden (1940),Emden,Cruiser,80,"6""",2+,14/4,"Armored Deck, Agile",emden_1940.png,kriegsmarine_ensign.png,Germany,33
124,Emden (1942),Emden,Cruiser,100,"6""",2+,14/4,"Armored Deck, Agile, Radar",emden_1942.png,kriegsmarine_ensign.png,Germany,34
125,Emden (1944),Emden,Cruiser,110,"6""",2+,14/4,"Armored Deck, Agile, Radar",emden_1944.png,kriegsmarine_ensign.png,Germany,35
126,Konigsberg,Konigsberg,Cruiser,110,"6""",2+,15/5,"Aircraft 2, Armored Deck, Agile, Sub-Hunter",konigsberg.png,kriegsmarine_ensign.png,Germany,36
127,Karlsruhe,Konigsberg,Cruiser,115,"6""",2+,17/5,"Aircraft 2, Armored Deck, Agile, Sub-Hunter",karlsruhe.png,kriegsmarine_ensign.png,Germany,37
128,Koln,Konigsberg,Cruiser,100,"6""",2+,15/5,"Armored Deck, Agile, Sub-Hunter",koln.png,kriegsmarine_ensign.png,Germany,38
129,Koln (1941),Konigsberg,Cruiser,80,"6""",2+,15/5,"Armored Deck, Agile, Sub-Hunter",koln_1941.png,kriegsmarine_ensign.png,Germany,39
130,Koln (1942),Konigsberg,Cruiser,90,"6""",2+,15/5,"Armored Deck, Agile, Sub-Hunter, Radar",koln_1942.png,kriegsmarine_ensign.png,Germany,40
131,Koln (1944),Konigsberg,Cruiser,95,"6""",2+,15/5,"Armored Deck, Agile, Sub-Hunter",koln_1944.png,kriegsmarine_ensign.png,Germany,41
132,Koln (1945),Konigsberg,Cruiser,100,"6""",2+,15/5,"Armored Deck, Agile, Sub-Hunter",koln_1945.png,kriegsmarine_ensign.png,Germany,42
133,Leipzig,Leipzig,Cruiser,110,"6""",2+,16/5,"Aircraft 2, Armored Deck, Agile, Sub-Hunter",leipzig.png,kriegsmarine_ensign.png,Germany,43
134,Nurnberg,Leipzig,Cruiser,115,"6""",2+,18/6,"Aircraft 2, Armored Deck, Agile, Sub-Hunter",nurnberg.png,kriegsmarine_ensign.png,Germany,44
135,Leipzig (1941),Leipzig,Cruiser,75,"5""",2+,16/5,"Armored Deck, Agile, Sub-Hunter",leipzig_1941.png,kriegsmarine_ensign.png,Germany,45
136,Leipzig (1943),Leipzig,Cruiser,85,"5""",2+,16/5,"Armored Deck, Agile, Sub-Hunter, Radar",leipzig_1944.png,kriegsmarine_ensign.png,Germany,46
137,Leipzig (1944),Leipzig,Cruiser,70,"5""",2+,16/5,"Armored Deck, Agile, Sub-Hunter, Radar",leipzig_1944.png,kriegsmarine_ensign.png,Germany,47
138,Nurnberg (1939),Leipzig,Cruiser,120,"6""",2+,18/6,"Armored Deck, Agile, Sub-Hunter",nurnberg.png,kriegsmarine_ensign.png,Germany,48
139,Nurnberg (1941),Leipzig,Cruiser,120,"6""",2+,18/6,"Aircraft 2, Armored Deck, Agile, Sub-Hunter, Radar",nurnberg.png,kriegsmarine_ensign.png,Germany,49
140,Nurnberg (1942),Leipzig,Cruiser,120,"6""",2+,18/6,"Armored Deck, Agile, Sub-Hunter, Radar",nurnberg.png,kriegsmarine_ensign.png,Germany,50
141,Nurnberg (1944),Leipzig,Cruiser,130,"6""",2+,18/6,"Armored Deck, Agile, Sub-Hunter, Advanced Radar",nurnberg.png,kriegsmarine_ensign.png,Germany,51
142,Nurnberg (1945),Leipzig,Cruiser,140,"6""",2+,18/6,"Armored Deck, Agile, Sub-Hunter, Advanced Radar",nurnberg.png,kriegsmarine_ensign.png,Germany,52
143,M,M,Cruiser,160,"7""",2+,21/7,"Aircraft 2, Armored Deck, Agile, Sub-Hunter, Radar",m_class.png,kriegsmarine_ensign.png,Germany,53
144,P,P,Cruiser,250,"7""",3+,52/17,"Aircraft 2, Armored Deck, Radar",p_class.png,kriegsmarine_ensign.png,Germany,54
145,Admiral Hipper,Admiral Hipper,Cruiser,200,"6""",3+,36/12,"Aircraft 3, Radar, Sub-Hunter",adm_hipper.png,kriegsmarine_ensign.png,Germany,55
146,Prinz Eugen,Admiral Hipper,Cruiser,205,"6""",3+,38/12,"Aircraft 3, Radar, Sub-Hunter",prinz_eugen.png,kriegsmarine_ensign.png,Germany,56
147,Blucher,Admiral Hipper,Cruiser,200,"6""",3+,36/12,"Aircraft 3, Radar, Sub-Hunter",blucher.png,kriegsmarine_ensign.png,Germany,57
148,Admiral Hipper (1942),Admiral Hipper,Cruiser,205,"6""",3+,36/12,"Aircraft 3, Radar, Sub-Hunter",adm_hipper_1942.png,kriegsmarine_ensign.png,Germany,58
149,Admiral Hipper (1944),Admiral Hipper,Cruiser,210,"6""",3+,38/12,"Aircraft 3, Radar, Sub-Hunter",adm_hipper_1944.png,kriegsmarine_ensign.png,Germany,59
150,Admiral Hipper (1945),Admiral Hipper,Cruiser,225,"6""",3+,36/12,"Aircraft 3, Radar, Sub-Hunter",adm_hipper_1945.png,kriegsmarine_ensign.png,Germany,60
151,Prinz Eugen (1942),Admiral Hipper,Cruiser,210,"6""",3+,36/12,"Aircraft 3, Radar, Sub-Hunter",prinz_eugen_1942.png,kriegsmarine_ensign.png,Germany,61
152,Prinz Eugen (1944),Admiral Hipper,Cruiser,215,"6""",3+,38/12,"Aircraft 3, Radar, Sub-Hunter",prinz_eugen_1944.png,kriegsmarine_ensign.png,Germany,62
153,Prinz Eugen (1945),Admiral Hipper,Cruiser,250,"6""",3+,36/12,"Aircraft 3, Advanced Radar, Sub-Hunter",prinz_eugen_1945.png,kriegsmarine_ensign.png,Germany,63
154,Spahkreuzer,Spahkreuzer,Cruiser,90,"7""",2+,12/4,"Armored Deck, Radar, Sub-Hunter, Agile",spahkreuzer.png,kriegsmarine_ensign.png,Germany,64
155,Leberecht Maass,Type 1934,Destroyer,55,"8""",1+,6/2,"Agile, Sub-Hunter, Depth Charge",z1.png,kriegsmarine_ensign.png,Germany,65
156,Richard Beitzen (1941),Type 1934,Destroyer,60,"8""",1+,6/2,"Agile, Sub-Hunter, Depth Charge, Radar",z10_1941.png,kriegsmarine_ensign.png,Germany,66
157,Friedrich Ihn (1944),Type 1934,Destroyer,65,"8""",1+,6/2,"Agile, Sub-Hunter, Depth Charge, Advanced Radar",type1934.png,kriegsmarine_ensign.png,Germany,67
158,Paul Jacobi (1944),Type 1934,Destroyer,70,"8""",1+,6/2,"Agile, Sub-Hunter, Depth Charge, Advanced Radar",z15_1944.png,kriegsmarine_ensign.png,Germany,68
159,Hans Lody (1944),Type 1934,Destroyer,75,"8""",1+,6/2,"Agile, Sub-Hunter, Depth Charge, Advanced Radar",type1934.png,kriegsmarine_ensign.png,Germany,69
160,Z23,Type 1936A,Destroyer,60,"7""",1+,7/2,"Radar, Sub-Hunter",type1936a.png,kriegsmarine_ensign.png,Germany,70
161,Z23 (1942),Type 1936A,Destroyer,65,"7""",1+,7/2,"Radar, Sub-Hunter",type1936a.png,kriegsmarine_ensign.png,Germany,71
162,Z24 (1943),Type 1936A,Destroyer,65,"7""",1+,7/2,"Radar, Sub-Hunter",type1936a.png,kriegsmarine_ensign.png,Germany,72
163,Z25 (1942),Type 1936A,Destroyer,65,"7""",1+,7/2,"Radar, Sub-Hunter",type1936a.png,kriegsmarine_ensign.png,Germany,73
164,Z25 (1945),Type 1936A,Destroyer,75,"7""",1+,7/2,"Radar, Sub-Hunter",type1936a.png,kriegsmarine_ensign.png,Germany,74
165,Z28 (1945),Type 1936A,Destroyer,65,"7""",1+,7/2,"Advanced Radar, Sub-Hunter",type1936a.png,kriegsmarine_ensign.png,Germany,75
166,Z29 (1945),Type 1936A,Destroyer,85,"7""",1+,7/2,"Advanced Radar, Sub-Hunter",type1936a.png,kriegsmarine_ensign.png,Germany,76
167,Z31,Type 1936 MOB,Destroyer,65,"7""",1+,7/2,"Radar, Sub-Hunter, Depth Charge",type1936mob.png,kriegsmarine_ensign.png,Germany,77
168,Z31 (1941),Type 1936 MOB,Destroyer,60,"7""",1+,7/2,"Radar, Sub-Hunter, Depth Charge",type1936mob.png,kriegsmarine_ensign.png,Germany,78
169,Z31 (1944),Type 1936 MOB,Destroyer,65,"7""",1+,7/2,"Radar, Sub-Hunter, Depth Charge",type1936mob.png,kriegsmarine_ensign.png,Germany,79
170,Z31 (1945),Type 1936 MOB,Destroyer,75,"7""",1+,7/2,"Advanced Radar, Sub-Hunter, Depth Charge",type1936mob.png,kriegsmarine_ensign.png,Germany,80
171,Z33 (1945),Type 1936 MOB,Destroyer,80,"7""",1+,7/2,"Radar, Sub-Hunter, Depth Charge",type1936mob.png,kriegsmarine_ensign.png,Germany,81
